Date,Average,1 Year,2 Year,3 Year,5 Year
30-01-2000,8,6.9,7,7.1,7.5
01-02-2000,9.6,6.886,6.985,7.084,7.492
03-02-2000,9.371,6.873,6.971,7.069,7.484
05-02-2000,9.143,6.859,6.956,7.053,7.476
07-02-2000,8.914,6.845,6.941,7.037,7.469
10-02-2000,8.686,6.831,6.926,7.022,7.461
12-02-2000,8.457,6.818,6.912,7.006,7.453
14-02-2000,8.229,6.804,6.897,6.99,7.445
16-02-2000,8,6.79,6.882,6.975,7.437
19-02-2000,9.6,6.776,6.868,6.959,7.429
21-02-2000,12,6.763,6.853,6.943,7.422
23-02-2000,11.657,6.749,6.838,6.927,7.414
25-02-2000,11.314,6.735,6.824,6.912,7.406
27-02-2000,10.971,6.722,6.809,6.896,7.398
29-02-2000,10.629,6.708,6.794,6.88,7.39
02-03-2000,10.286,6.694,6.779,6.865,7.382
04-03-2000,9.943,6.68,6.765,6.849,7.375
06-03-2000,9.6,6.667,6.75,6.833,7.367
09-03-2000,12,6.653,6.735,6.818,7.359
14-03-2000,12,6.639,6.721,6.802,7.351
19-03-2000,11.857,6.625,6.706,6.786,7.343
24-03-2000,11.714,6.612,6.691,6.771,7.335
29-03-2000,11.571,6.598,6.676,6.755,7.327
03-04-2000,11.429,6.584,6.662,6.739,7.32
08-04-2000,11.286,6.571,6.647,6.724,7.312
13-04-2000,11.143,6.557,6.632,6.708,7.304
18-04-2000,11,6.543,6.618,6.692,7.296
23-04-2000,11,6.529,6.603,6.676,7.288
25-04-2000,11,6.516,6.588,6.661,7.28
27-04-2000,10.786,6.502,6.574,6.645,7.273
29-04-2000,10.571,6.488,6.559,6.629,7.265
01-05-2000,10.357,6.475,6.544,6.614,7.257
03-05-2000,10.143,6.461,6.529,6.598,7.249
05-05-2000,9.929,6.447,6.515,6.582,7.241
07-05-2000,9.714,6.433,6.5,6.567,7.233
09-05-2000,9.5,6.42,6.485,6.551,7.225
12-05-2000,9.5,6.406,6.471,6.535,7.218
14-05-2000,9.5,6.392,6.456,6.52,7.21
16-05-2000,9.464,6.378,6.441,6.504,7.202
19-05-2000,9.429,6.365,6.426,6.488,7.194
21-05-2000,9.393,6.351,6.412,6.473,7.186
23-05-2000,9.357,6.337,6.397,6.457,7.178
26-05-2000,9.321,6.324,6.382,6.441,7.171
28-05-2000,9.286,6.31,6.368,6.425,7.163
30-05-2000,9.25,6.296,6.353,6.41,7.155
02-06-2000,9.25,6.282,6.338,6.394,7.147
07-06-2000,9.25,6.269,6.324,6.378,7.139
13-06-2000,9.229,6.255,6.309,6.363,7.131
19-06-2000,9.207,6.241,6.294,6.347,7.124
24-06-2000,9.186,6.227,6.279,6.331,7.116
30-06-2000,9.164,6.214,6.265,6.316,7.108
06-07-2000,9.143,6.2,6.25,6.3,7.1
11-07-2000,9.121,6.186,6.235,6.284,7.092
17-07-2000,9.1,6.173,6.221,6.269,7.084
23-07-2000,9.1,6.159,6.206,6.253,7.076
25-07-2000,9.1,6.145,6.191,6.237,7.069
27-07-2000,9.086,6.131,6.176,6.222,7.061
29-07-2000,9.071,6.118,6.162,6.206,7.053
31-07-2000,9.057,6.104,6.147,6.19,7.045
03-08-2000,9.043,6.09,6.132,6.175,7.037
05-08-2000,9.029,6.076,6.118,6.159,7.029
07-08-2000,9.014,6.063,6.103,6.143,7.022
09-08-2000,9,6.049,6.088,6.127,7.014
12-08-2000,9,6.035,6.074,6.112,7.006
15-08-2000,9,6.022,6.059,6.096,6.998
18-08-2000,8.964,6.008,6.044,6.08,6.99
22-08-2000,8.929,5.994,6.029,6.065,6.982
25-08-2000,8.893,5.98,6.015,6.049,6.975
29-08-2000,8.857,5.967,6,6.033,6.967
01-09-2000,8.821,5.953,5.985,6.018,6.959
05-09-2000,8.786,5.939,5.971,6.002,6.951
08-09-2000,8.75,5.925,5.956,5.986,6.943
12-09-2000,8.75,5.912,5.941,5.971,6.935
17-09-2000,8.75,5.898,5.926,5.955,6.927
22-09-2000,8.679,5.884,5.912,5.939,6.92
28-09-2000,8.607,5.871,5.897,5.924,6.912
03-10-2000,8.536,5.857,5.882,5.908,6.904
09-10-2000,8.464,5.843,5.868,5.892,6.896
14-10-2000,8.393,5.829,5.853,5.876,6.888
20-10-2000,8.321,5.816,5.838,5.861,6.88
25-10-2000,8.25,5.802,5.824,5.845,6.873
31-10-2000,8.25,5.788,5.809,5.829,6.865
03-11-2000,8.25,5.775,5.794,5.814,6.857
06-11-2000,8.214,5.761,5.779,5.798,6.849
10-11-2000,8.179,5.747,5.765,5.782,6.841
13-11-2000,8.143,5.733,5.75,5.767,6.833
